Email id,From Name,From seniority,From Department,To Name,To seniority,To Department,Email topic,Date,Sentiment,Is opened?,Device,Within work hours,Within workdays
1,Leona McAree,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Operational Issues,3/14/2024,neutral,opened,desktop,yes,yes
2,Leona McAree,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,HR related topics,3/22/2024,positive,opened,mobile,no,yes
3,Leona McAree,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Meeting Scheduling,3/26/2024,neutral,unopened,desktop,yes,yes
4,Leona McAree,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,HR related topics,3/11/2024,neutral,opened,mobile,yes,yes
5,Leona McAree,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,HR related topics,3/11/2024,positive,opened,mobile,yes,yes
6,Leona McAree,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Training and Development,3/14/2024,neutral,opened,desktop,yes,yes
7,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,3/15/2024,negative,opened,desktop,yes,yes
8,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Training and Development,3/7/2024,positive,opened,desktop,yes,yes
9,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,3/27/2024,neutral,opened,mobile,yes,yes
10,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Meeting Scheduling,3/29/2024,neutral,opened,mobile,yes,yes
11,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,3/28/2024,neutral,opened,desktop,yes,yes
12,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Client Related Communication,3/26/2024,neutral,unopened,desktop,yes,yes
13,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,3/20/2024,negative,opened,desktop,yes,yes
14,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Operational Issues,3/6/2024,positive,opened,desktop,no,yes
15,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,3/12/2024,neutral,opened,desktop,yes,yes
16,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Product Development,3/28/2024,neutral,opened,desktop,yes,yes
17,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Legal Matters,3/29/2024,neutral,opened,desktop,no,yes
18,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,3/6/2024,negative,opened,desktop,yes,yes
19,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,3/22/2024,neutral,opened,desktop,yes,yes
20,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Internal Policies and Procedures,3/19/2024,neutral,opened,desktop,yes,yes
21,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Internal Policies and Procedures,3/15/2024,neutral,opened,desktop,yes,yes
22,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,3/15/2024,positive,opened,mobile,yes,yes
23,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Product Development,3/4/2024,negative,unopened,mobile,yes,yes
24,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Technical Support,3/15/2024,positive,opened,desktop,yes,yes
25,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,3/29/2024,neutral,unopened,desktop,yes,yes
26,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Operational Issues,3/11/2024,neutral,opened,desktop,yes,yes
27,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,3/19/2024,positive,opened,desktop,yes,yes
28,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Product Development,3/12/2024,neutral,opened,desktop,yes,yes
29,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Training and Development,3/4/2024,neutral,opened,mobile,yes,yes
30,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,3/18/2024,positive,opened,desktop,yes,yes
31,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,3/12/2024,positive,opened,mobile,no,yes
32,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,3/28/2024,neutral,opened,desktop,yes,yes
33,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,3/17/2024,neutral,unopened,desktop,no,no
34,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Project Updates,3/11/2024,neutral,opened,desktop,yes,yes
